epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.7866401858245636,0.5363313,0.5320971178099589,0.852481
1,0.43030331415576334,0.81205505,0.3156051967987511,0.9155989
2,0.32242057359653953,0.8750694,0.2968957734795184,0.91458565
3,0.2832392739085423,0.8686294,0.1460427781805112,0.9081172
4,0.22964009604690797,0.8276892,0.16657557849383034,0.9003916
5,0.5022926982622142,0.6853971,0.7926882491561769,0.4964187
6,0.8132480072300112,0.49655867,0.7923797513096347,0.4964187
0,0.8159377579303349,0.4964966
0,0.1564430794756971,0.88067293
1,0.14952916508577963,0.8889631
2,0.1411371165286531,0.8874992
3,0.13779335251387412,0.89436376
