epoch,loss,mean_io_u_2,val_loss,val_mean_io_u_2
0,0.06674994161390428,0.9057264,0.034287149799800715,0.94777787
1,0.06300926826850255,0.9000529,0.03396160163843942,0.94962156
2,0.06909361953259453,0.9028859,0.03383864567625478,0.94799757
3,0.05930321402872227,0.90238154,0.033342713760177445,0.94909036
4,0.06014801010988452,0.9011208,0.03270826485963559,0.95091
5,0.06095846233129971,0.90039206,0.03347410056670802,0.94837093
6,0.06265198867413377,0.9011464,0.03520234920721515,0.9456389
7,0.06536458177309794,0.90111077,0.03312781087527931,0.94968617
