epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.9999874032258211,0.45630798,0.9999938469252146,0.4602681
1,0.6860885064854667,0.49434072,0.19647981600994227,0.8916236
2,0.16841310536601956,0.8914515,0.16683157874274643,0.9018861
3,0.17166209073272762,0.8841101,0.1618774785486742,0.8988457
4,0.14871343228997622,0.89130586,0.14930906929547275,0.90170896
5,0.14606276613527536,0.8888954,0.15744192097976023,0.89727247
6,0.13011513336072925,0.89420223,0.14915454711017298,0.9034474
7,0.16266340496301607,0.88375497,0.3600470727649778,0.7419605
8,0.1360427481195135,0.89353126,0.14671215452725375,0.8996891
9,0.14165461816670238,0.88957405,0.22048488016801113,0.871611
10,0.15332720373968392,0.8837984,0.15044559902135976,0.8988325
11,0.12777941352658945,0.8956585,0.15233446644184603,0.9004611
12,0.12180558939857261,0.8989925,0.14292975478750025,0.9040648
13,0.12129176351603609,0.8993535,0.18608057423482968,0.88704056
14,0.1378507995229587,0.8883047,0.1477658187071195,0.9006826
15,0.15835560277402078,0.88141406,0.14935712087865763,0.89936954
16,0.13971066416706146,0.89249545,0.13994147872407442,0.9038499
17,0.13237989534330086,0.89728326,0.13700027448574845,0.9032434
18,0.13120212760829603,0.89822984,0.14749176377198148,0.9017824
19,0.12892868405532204,0.8978785,0.15571793067735532,0.8914627
0,0.12085467038267518,0.9009893,0.1343364163721233,0.9049741
1,0.11560511433447435,0.9012225,0.13573588438965312,0.90622985
2,0.11939909835639997,0.9024631,0.1357777347185297,0.908465
3,0.11506311025054619,0.90254724,0.1354811134433229,0.90979284
4,0.1204789928526491,0.901718,0.13706758418954088,0.90532243
5,0.11524468790467517,0.90058017,0.16180637893797475,0.90468085
6,0.12332763623253863,0.8999133,0.13824838076534582,0.9068297
7,0.12844650925115048,0.8981917,0.13601823719673087,0.9065005
8,0.12066541866191825,0.901456,0.1318140821043018,0.9092355
9,0.12179066457737456,0.90093553,0.13365787235349685,0.9089915
10,0.11425711884604817,0.9031497,0.13067145642923836,0.9094573
11,0.11363277362180804,0.9028292,0.14026353490719096,0.9066149
12,0.13094206738047406,0.8964647,0.14569668506843056,0.90592813
13,0.13295462495664193,0.8904339,0.15473951849325224,0.8937485
14,0.137487957455808,0.89135313,0.1329777581351144,0.90530425
15,0.12173132188943941,0.9024369,0.13118426461331884,0.90876114
16,0.11876525412173766,0.9030903,0.12923078026090348,0.90903676
17,0.12274753149538678,0.9015621,0.13626045311984705,0.9076692
18,0.11627192019640148,0.90236855,0.13400474735022022,0.909032
19,0.11478349264194447,0.9037847,0.13462674423755833,0.90968657
