epoch,loss,mean_io_u_3,val_loss,val_mean_io_u_3
0,0.02663156181725928,0.5040432,0.010518887139870288,0.49681407
1,0.007013797712706521,0.49710387,0.004769824862406062,0.49681407
0,0.4346704568784999,0.61654705,0.22640453982310096,0.89888585
1,0.1882669097570528,0.88191986,0.1537725177207864,0.90000945
2,0.1713434343150224,0.8751236,0.1670212824133378,0.8800571
3,0.14643135897588386,0.8820691,0.1497551040235523,0.90116477
4,0.15716797998338497,0.8823534,0.14804981367066367,0.90196854
5,0.1789580376304816,0.8692795,0.16884541530936795,0.8795593
6,0.15471791734857962,0.88076556,0.15620545724416943,0.8983475
7,0.16400972521357585,0.87272143,0.15918090102038807,0.89425874
8,0.14717318216249467,0.8853897,0.15547380768584515,0.8993428
9,0.1615566804975589,0.8717321,0.16501068273461533,0.89254504
10,0.14602807723639638,0.8875493,0.15189118055495388,0.9024367
11,0.152417764683023,0.88226664,0.15454460714436785,0.90068716
12,0.13735129856504796,0.888708,0.16291381905350505,0.89905536
13,0.12991985369559533,0.8908081,0.16110815734587353,0.89430815
