epoch,accuracy,loss,val_accuracy,val_loss
0,0.998088,0.08738056855322172,0.99791974,0.08649402614524296
1,0.99814516,0.08696015500150575,0.9981607,0.07539705882195911
2,0.9982909,0.07467865909296677,0.99823946,0.06753030786365738
3,0.9983746,0.06877017929198709,0.9982918,0.06431865789051022
4,0.9984641,0.06677247550766813,0.99842405,0.061773666091839395
5,0.9985155,0.061470125394634256,0.99852043,0.06557344959572654
6,0.99857026,0.05966271734433436,0.9984498,0.05878107550510859
7,0.9985413,0.057802265398076765,0.998414,0.06139093565535305
8,0.99856585,0.06020781657284202,0.9985586,0.05582921622208576
9,0.99862224,0.05622965768988689,0.9986322,0.056787858523973736
10,0.99865854,0.053824239728935026,0.9986925,0.054878008830870635
11,0.99868673,0.05828548322605071,0.99867964,0.05449212968603716
12,0.9986841,0.05571841929425443,0.99874985,0.055328613860772806
13,0.9987438,0.05285191459359718,0.9987376,0.05336132925388194
14,0.9987336,0.05736376212572126,0.99878675,0.0574478118506122
15,0.99873465,0.048149213411355835,0.9987246,0.06046286652767993
16,0.9987024,0.05259599353144584,0.9986514,0.05258285536788195
17,0.9987072,0.05262838844229286,0.998757,0.05012968818031905
18,0.9987595,0.051468938638361245,0.99877435,0.05070506119695757
19,0.998755,0.052605221343461066,0.9985693,0.05202495182505573
0,0.9987258,0.04933369721460797,0.9987215,0.0489423429558256
1,0.99874705,0.049508014581023406,0.99877137,0.048154332494702766
2,0.9987726,0.04643738362821775,0.99882656,0.04891529571322469
3,0.9988084,0.047586354123240214,0.99855876,0.05248901703705949
4,0.99882007,0.046667758293813165,0.9988564,0.04645928310156344
