epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.3450164445367093,0.7240313,0.22811428439983622,0.87848026
1,0.20897160473053705,0.76755416,0.18723948131202572,0.8056095
2,0.1908435498799941,0.71287835,0.17748551153145042,0.6409527
3,0.16601305579518272,0.69168276,0.16823693472912254,0.87013704
4,0.16581717576172217,0.7307061,0.1645222940453569,0.87612206
5,0.16611659308067878,0.7677438,0.1801989072485815,0.50282276
6,0.15600924920417922,0.8670857,0.169665821077164,0.83880055
7,0.15248688433221602,0.8494898,0.1860040905247114,0.7930012
8,0.16529924055228412,0.85655683,0.1660848992211478,0.863058
9,0.15375103622250744,0.8774757,0.1634194556670853,0.87839794
10,0.15626355387251903,0.88146913,0.20574879297080567,0.8385569
11,0.15807722362720525,0.87873685,0.16479032061199167,0.8832573
12,0.1561103596747884,0.87868255,0.1668668879738337,0.8927305
13,0.14200645991455826,0.8859935,0.1624880252220747,0.8963655
0,0.18257790719069603,0.8683057,0.20652655537693237,0.85214186
