epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.07611858535849261,0.87855095,0.09531589933678619,0.89189756
1,0.07588539047708434,0.8783923,0.09325160824431045,0.8969911
2,0.08042086117615296,0.87851095,0.09654682899454135,0.89561826
3,0.07592458366295286,0.87995756,0.09528946564994664,0.893911
4,0.0841514115717391,0.8785728,0.09110053136673943,0.8966588
5,0.08788227066138284,0.8756067,0.0986099309610588,0.8967756
6,0.07817285342344568,0.87659174,0.09826600181141276,0.8967459
7,0.0735484596895033,0.8788206,0.0980372326588413,0.89535606
8,0.08251786230388206,0.8756803,0.09182902375273204,0.8969293
9,0.0855203673647294,0.87701494,0.09076631803934657,0.89625657
10,0.08675724057412103,0.8747768,0.1000161759767546,0.89160204
11,0.08424212513524344,0.87505376,0.09677505301737968,0.8940388
12,0.07798662971613715,0.8788399,0.09620637044857976,0.8926791
13,0.07775047547664922,0.87413514,0.10283056327032775,0.88853
14,0.08695777877846371,0.87813836,0.10495134200909478,0.8925973
15,0.09849273195652337,0.8660525,0.0978173303692021,0.89315534
16,0.07893279520708918,0.8763925,0.09267544809690309,0.8939267
17,0.08776585914067415,0.8714243,0.10211964840083877,0.89546245
18,0.08863878466834595,0.8716613,0.10532926623867031,0.89032567
19,0.08968028478382796,0.87305546,0.10040902773016633,0.8954577
0,0.08112592026711839,0.87793136,0.09691991099931908,0.89556265
1,0.07546188166622972,0.88024354,0.09167818360663883,0.8973402
2,0.07392859876215578,0.88115716,0.09356235940760825,0.89667946
3,0.0742619515577184,0.8811165,0.10117073077198993,0.89534175
4,0.0718106090307,0.87729377,0.09094884674333012,0.89713997
