epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.1817223441093283,0.8567554,0.17107417398076807,0.8433228
1,0.17592818518120776,0.84696984,0.1600789186105159,0.8685978
2,0.19355731097711573,0.8394165,0.15179170995250102,0.87384415
3,0.42688409001321853,0.66019887,0.5998089775470024,0.49681407
4,0.612031971924366,0.49704763,0.599806600130057,0.49681407
5,0.609909899181357,0.49705473,0.599806212495076,0.49681407
6,0.6112036161206027,0.49705198,0.5998061169767466,0.49681407
0
0
0
0
0
0,0.18811479273437123,0.84713805,0.14999831339334277,0.87569755
1,0.15171936328039634,0.8626386,0.13582001959005705,0.8754853
