epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.2811234490836368,0.7745808,0.2303237477938334,0.78662
1,0.282017005015822,0.7721243,0.24815383652846018,0.7699461
2,0.27573120690443936,0.7722301,0.2429138347506523,0.7601553
3,0.28986000742982415,0.77659976,0.21466078311204911,0.78753567
4,0.27809014118769587,0.7806695,0.2483199452360471,0.79177964
5,0.2798321867690367,0.77872235,0.2553599034746488,0.7570098
6,0.260935659355977,0.7808949,0.22498035530249277,0.7678771
7,0.26662776575368996,0.7824395,0.2597534586985906,0.74784464
8,0.2760611909277299,0.7804302,0.2733346129457156,0.749708
9,0.2665072028251255,0.77867097,0.2485211208462715,0.7799827
10,0.2751445984139162,0.7758461,0.2820764069755872,0.7420105
11,0.27767294838148004,0.7753824,0.2712972437342008,0.767404
12,0.2745176822823637,0.7778163,0.2586181938648224,0.75629276
13,0.29186006889623756,0.7781961,0.30345213164885837,0.7262602
14,0.27724745387540145,0.77919614,0.274461884299914,0.7432921
15,0.2736230447888374,0.7780741,0.25542216102282206,0.7717865
16,0.3101844881387318,0.76874083,0.23362926890452704,0.7880155
17,0.2871228511719143,0.7721039,0.24829663683970768,0.7773473
18,0.24662002395181096,0.7870936,0.22741140673557916,0.7829092
0,0.2719544020645759,0.7832376,0.24463470031817755,0.77249813
1,0.27841372174375195,0.77261114,0.24974679748217266,0.7709249
2,0.2732810972368016,0.77767026,0.2276601791381836,0.78749
3,0.2703257950789788,0.7784389,0.2746760070323944,0.7563189
4,0.2765445401563364,0.7816612,0.24043546070655186,0.7682769
5,0.2585383143495111,0.78184724,0.2554096962014834,0.7749884
6,0.24842982721679352,0.7857829,0.21324228296677272,0.7775967
7,0.25173340632635005,0.78657323,0.2525141169627508,0.8039326
8,0.2523179057766409,0.78517354,0.21741127024094264,0.8056128
9,0.2684020838316749,0.7893816,0.23499484558900197,0.78917545
10,0.2610512641422889,0.78773135,0.2202806403239568,0.80104756
11,0.278829820191159,0.7815194,0.2082639326651891,0.8281752
12,0.2692271894391845,0.7925873,0.22988432745138804,0.81004417
13,0.2851469418581794,0.768626,0.27280632555484774,0.75780034
14,0.266244818620822,0.78724617,0.2344463343421618,0.78581905
15,0.2643012606922318,0.7830426,0.24335803091526031,0.78562665
16,0.2712845597197028,0.78041565,0.33704811284939445,0.71779704
17,0.27601597256520216,0.7769799,0.23544401228427886,0.8121755
18,0.28542042742757234,0.78535235,0.27354298283656436,0.75622153
19,0.26815360723172915,0.7897153,0.26664541810750964,0.76878095
20,0.27744021801387564,0.7696872,0.2608132943511009,0.7787645
21,0.2888249192167731,0.77300024,0.2865886767705282,0.76188123
22,0.2760858526124674,0.77626127,0.28039164692163465,0.7671876
23,0.26338479790617436,0.77640504,0.2685805007815361,0.7551949
24,0.29704513707581687,0.7737797,0.22666483521461486,0.82522666
25,0.3022019985844107,0.7590747,0.23932045151789982,0.7967329
26,0.2813675621853155,0.78566295,0.2414992575844129,0.7705413
0,0.26802470000351175,0.77525616,0.24065086046854656,0.78602326
1,0.31366735731854156,0.7695611,0.26725517511367797,0.772784
2,0.27317529040224414,0.7852248,0.21788972814877827,0.8123008
3,0.28636182616738715,0.7719977,0.3001311033964157,0.7393641
4,0.2878180409179014,0.7667649,0.279501103858153,0.7518487
5,0.2918964848798864,0.77105933,0.25476313531398775,0.7628119
6,0.266538891108597,0.78658926,0.23398974984884263,0.79182553
7,0.3137594511403757,0.7679361,0.296014541387558,0.75411445
8,0.3212598722647218,0.7640543,0.2579859251777331,0.7837359
9,0.30199314399677163,0.7631937,0.260421218474706,0.76769185
10,0.31304438228116316,0.75581527,0.2930151214202245,0.7532263
11,0.3272395723882843,0.7530961,0.27354407956202825,0.7700089
12,0.2823350832742803,0.764916,0.2709276780486107,0.77144575
13,0.2895611797185505,0.7657355,0.2761954347292582,0.794477
14,0.27724303357741414,0.77663374,0.23110769639412562,0.80783
15,0.2707021647516419,0.781813,0.21924829681714375,0.8261632
16,0.27467395742149914,0.78103155,0.1862901270389557,0.81632286
17,0.2709169919876491,0.779948,0.2746843794981639,0.7721345
18,0.25667228654903523,0.7847036,0.2715322042504946,0.7791523
19,0.2643687902127995,0.78464144,0.23109877755244573,0.8167382
20,0.26225102280869206,0.78996515,0.2460442120830218,0.79068637
21,0.27498287488432493,0.7779144,0.2131853332122167,0.81523407
