epoch,accuracy,loss,val_accuracy,val_loss
0,0.90669334,0.7635672305664373,0.93318695,0.7108986222538932
1,0.9746675,0.3811939609224404,0.99867636,0.13641303524752513
2,0.997912,0.13451898563660875,0.9985061,0.11742109032360787
3,0.99764377,0.12472759459916179,0.9973847,0.14647198637132586
4,0.9975915,0.134770180315779,0.9976175,0.129176147444921
5,0.9979599,0.10779671048402334,0.99840623,0.07615075098382684
6,0.9981517,0.09603938700673632,0.99636674,0.3576126285797909
7,0.99806076,0.09204683699966161,0.9968306,0.16597684896895284
8,0.99802876,0.0943595874579917,0.9985128,0.06692280832081444
9,0.9979599,0.1071702587842085,0.99253243,0.26816747875504027
0,0.998068,0.09526329719532606,0.99850065,0.06693345412866548
1,0.9983855,0.07107847192197916,0.9985934,0.07287483724844714
2,0.9983302,0.07533205200092591,0.99854594,0.058102919258348734
3,0.9982981,0.07518236899850099,0.99863434,0.06976354830222475
4,0.99838805,0.06954665227498963,0.998534,0.06217375187701639
5,0.998439,0.06560607410873817,0.99867284,0.05534065743531168
6,0.99841684,0.07405405130780972,0.99851334,0.07887794258984811
7,0.9983836,0.06732600740648045,0.99813336,0.0755416469980164
8,0.9984357,0.0644282723176146,0.9987079,0.05479588392716696
9,0.9984855,0.06500481067289549,0.99873024,0.05012662339060832
