epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.12505013902999831,0.89634836,0.11429772989228233,0.9140569
1,0.1212025673127535,0.89823806,0.10768396125779661,0.9163786
2,0.11637084528384382,0.8993509,0.11279101518351604,0.91470265
3,0.12442557932110518,0.8986604,0.1122631935271389,0.9167068
4,0.11992541799184929,0.8993156,0.11462799351642187,0.9160154
5,0.11897602916456268,0.900153,0.10431672573951872,0.9180167
6,0.12088857497847544,0.89919364,0.10969211809458396,0.91643196
7,0.11505553145167274,0.89990044,0.10937674506878982,0.9109321
8,0.11439824245835398,0.90025014,0.10401412384419502,0.9168291
9,0.11500965829874688,0.90010744,0.1045515015586591,0.91753006
