epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.5432914104612256,0.57709414,0.5328056113794446,0.6208687
1,0.5646623728029868,0.5781585,0.532569936166207,0.6064912
2,0.5490596625318078,0.5703081,0.5076606590300798,0.61143744
3,0.5180131915587971,0.5706223,0.5020667708789309,0.61303276
4,0.5324221935496659,0.5719469,0.4950123227511843,0.61108345
5,0.5049841940293417,0.5742614,0.5145960015555223,0.5972295
6,0.4760463536611802,0.57703894,0.4849497325097521,0.60617894
7,0.48681258232978936,0.578518,0.4839821122586727,0.6219267
8,0.4947069368260118,0.5772448,0.4727492416277528,0.6184504
9,0.4648750293861919,0.5755954,0.46561109491934377,0.62628585
10,0.47663139486137557,0.5803878,0.451463654016455,0.62584597
11,0.46176336634465875,0.5777075,0.45808896608650684,0.6273795
12,0.43606259905069633,0.58460027,0.5077807263781627,0.5918441
13,0.46395252236877293,0.5888316,0.43794441036880016,0.63782847
14,0.44130259784107495,0.59198403,0.49563276084760827,0.5966478
15,0.43827751763712836,0.58261925,0.42470628457764786,0.647871
16,0.43270310211707563,0.59325135,0.4094846099615097,0.6514771
17,0.4475163428355967,0.5849363,0.4301735454549392,0.63324165
18,0.4094407348345746,0.5908518,0.4187869094312191,0.6574244
19,0.4395465221663614,0.5911492,0.4588638882463177,0.63451374
0,0.430307718076031,0.58151287,0.44491183540473384,0.63604665
1,0.41983361274469644,0.59313834,0.42098442930728197,0.6451403
2,0.4070603936801062,0.59093475,0.4366436880081892,0.6354263
3,0.437440910267041,0.58455175,0.4225463854769866,0.63944876
4,0.4240318124237306,0.5892097,0.422988667152822,0.63259435
5,0.421968866194434,0.59207475,0.4265905261660616,0.64583194
6,0.4101181153262801,0.59621453,0.4167992544050018,0.65603966
7,0.4407662436749567,0.5899299,0.45303340815007687,0.6216031
8,0.4298925781074692,0.5956339,0.42444220775117475,0.6458899
9,0.40332991558620157,0.5955207,0.4186945470670859,0.66008806
10,0.4256341229128805,0.5896203,0.4714211601143082,0.6037992
11,0.40990077161832766,0.59841144,0.43302804852525395,0.6402857
12,0.4269913609194405,0.5977493,0.4417289799700181,0.6208516
13,0.4288312968085794,0.5963523,0.41705155714104575,0.65894806
14,0.43316965865190415,0.5845952,0.43426811570922536,0.6331804
15,0.4293919015566216,0.59563273,0.39522706903517246,0.6547649
16,0.44434741752989154,0.59681356,0.42764610207329196,0.64364076
17,0.4198951056117521,0.60212576,0.40431860120346147,0.64177233
18,0.42709682375083075,0.59647346,0.40844553615897894,0.6381921
19,0.38621246064191356,0.5982084,0.4282128910223643,0.6539993
