epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.9159369089391961,0.49706286,0.9106039401238101,0.49681407
1,0.9221308624631125,0.49705523,0.9105723057514827,0.49681407
0,0.14881084528287108,0.86127484,0.15711531538859846,0.87471074
1,0.10807800027309684,0.8617453,0.10436248543519008,0.8941025
2,0.11665618628976336,0.8655088,0.19490066164494854,0.80658484
3,0.1116251932264072,0.85786414,0.10301370650267137,0.8883971
4,0.10825961666639514,0.8624189,0.105967818445713,0.89130324
5,0.10887002173247459,0.8695707,0.10694595432655454,0.893075
6,0.11490370291118328,0.86098814,0.1490203805394173,0.81150603
7,0.09953174969505958,0.8651401,0.15441701685936884,0.60828424
8,0.10614485268700809,0.86042047,0.12331228400879518,0.85518575
9,0.09824430462872591,0.8636558,0.09887803084752302,0.891966
10,0.10343180189608689,0.8679064,0.11353029168997666,0.88410294
11,0.10898603612985625,0.8653823,0.15150623643112454,0.81767356
12,0.11835646684696319,0.8587927,0.10321013505602128,0.89310646
13,0.09644352452958033,0.86209285,0.13656820755672716,0.83562374
14,0.09997620532660109,0.8720629,0.11212598511727104,0.89186895
15,0.1085105175703881,0.8661164,0.10978481285088774,0.88064945
16,0.10534291113940969,0.86176836,0.303610874887436,0.63115823
17,0.10580345441352616,0.8674671,0.12569103730268244,0.8849558
18,0.11559612368077277,0.86160946,0.11510295193143236,0.88299286
19,0.10968475826431043,0.8639504,0.10197396009478672,0.8911175
0,0.08800200187773494,0.874472,0.10083597152985567,0.8905698
1,0.08288441422266718,0.87544215,0.10066165852241112,0.89303493
2,0.08710857817055814,0.8738009,0.09701213877574795,0.89372236
3,0.08250372371539294,0.87627435,0.1003544203778798,0.8843633
4,0.08045004738468924,0.8757075,0.09207115357342871,0.8956785
