epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.11470130891922278,0.90092564,0.1302607742614815,0.91160107
1,0.11712327245138993,0.9001301,0.13165796635163843,0.9118963
2,0.11621823193369991,0.9004841,0.13162976430078957,0.9114909
3,0.11096896844169835,0.90079904,0.13060914310365646,0.9116636
4,0.1195747427594314,0.9004687,0.12946725460763003,0.9120486
5,0.11725434573598954,0.90092725,0.13145349484886873,0.91098225
6,0.1126526196290426,0.90133584,0.1301293754017159,0.9115573
7,0.11305750225942715,0.90267026,0.13037815579022896,0.9120008
8,0.11504253927503418,0.9017793,0.1308073960419805,0.91205645
9,0.11198971802542934,0.9008595,0.13066762724578057,0.9121015
10,0.11578310834826572,0.90208316,0.13007439023547318,0.91197574
11,0.11369978107443993,0.9004156,0.12962852748781173,0.9121538
12,0.11492025402514915,0.90058744,0.13042315348147485,0.91195714
13,0.10748495559956565,0.9015387,0.13234796640454752,0.9118245
14,0.11927802535169255,0.9018491,0.133217125516688,0.9115734
15,0.11535768183781055,0.9008655,0.13072279170020795,0.9117335
16,0.11116277830278272,0.9019512,0.12938245920764171,0.91214323
17,0.1121012580990525,0.90132797,0.13002409109370833,0.9121156
18,0.11519663092461102,0.90018225,0.130173235560412,0.91220504
19,0.11406005939238452,0.9013636,0.1301964708305828,0.91205716
0,0.11547784290324678,0.902439,0.1309099467063683,0.91182387
1,0.11187312356771473,0.9022664,0.13105806054085978,0.9120183
2,0.11366847999978402,0.9014454,0.12931823092386477,0.9121661
3,0.11706651675417327,0.900851,0.13102184919940196,0.91199803
4,0.11398913956650247,0.90179634,0.13019724344905417,0.91190195
5,0.1202718093824834,0.90130293,0.12965327736266483,0.9121791
6,0.11368665726311002,0.9012569,0.13018142043143024,0.91224897
7,0.11679155185743534,0.90115833,0.1299949814570532,0.9123244
8,0.11604369926172628,0.90116596,0.1317009595591595,0.9121016
9,0.1127342253461173,0.9006833,0.13032487152282413,0.91186494
10,0.11675180865055435,0.90085304,0.1304052226151092,0.9114206
0,0.11458363000089743,0.90202355,0.13000132740082834,0.9119172
1,0.11688092408597511,0.90063864,0.13110738139040432,0.91213834
2,0.11499968822254876,0.9006654,0.13049100947854317,0.91225743
3,0.10942428746007052,0.9016937,0.13033584699061637,0.9117503
4,0.11962618491580691,0.9018923,0.1291488453880572,0.91217184
5,0.11851190410926772,0.90130925,0.1296485533334894,0.9116809
6,0.1140114891739851,0.9038755,0.13163932320437854,0.91178876
7,0.11319568664788546,0.9022454,0.12956017089795463,0.9120663
