epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.13853313882250332,0.8942733,0.12350912891719053,0.9068829
1,0.13296221855871146,0.89470184,0.12375602433306399,0.90731084
2,0.12996683658984073,0.8966509,0.12113090193077626,0.9092481
3,0.13495859275287558,0.8957951,0.12087864520105704,0.9082451
4,0.13141735562826531,0.8965908,0.11902426761485785,0.91015714
5,0.13222121366051745,0.89544106,0.12466546889886287,0.9088819
6,0.13400142235983276,0.8972174,0.12045532820668833,0.9084157
7,0.13165598854744998,0.8975054,0.12316895130529973,0.9094452
8,0.1276849519052175,0.8972559,0.12268743536571482,0.910254
9,0.1337071078672949,0.89702,0.12182372543307368,0.90974766
10,0.12619397464766077,0.897405,0.12037603423996386,0.90941834
11,0.12876665086959874,0.8967166,0.11810132844969765,0.90971106
12,0.12919381218452036,0.89720684,0.12998080814078747,0.90406287
13,0.13214683565052845,0.89564705,0.11731436317264494,0.9114814
14,0.12538590884782394,0.8984632,0.12200661658378449,0.9087378
15,0.13224980272193385,0.8971659,0.11795186246282154,0.91133666
16,0.13158873786738784,0.8978348,0.18625602090552745,0.84801555
17,0.12999397058953213,0.896844,0.12388449790895956,0.90790486
18,0.12858240513245514,0.89581156,0.1703223179736146,0.8390116
19,0.12935204979805298,0.8969636,0.11892233476931967,0.91036856
0,0.12518434365280984,0.89982533,0.12490650128714646,0.90861446
1,0.12262206187296623,0.9016588,0.11760049530222447,0.91272557
2,0.12860073516430803,0.9015086,0.11799100081269608,0.91263723
3,0.12632622330831098,0.900652,0.11835924253325782,0.9117129
4,0.12864672222689555,0.9008134,0.11711459724640114,0.9130788
5,0.12400525942632172,0.90084624,0.11894083508100044,0.9111274
6,0.11899169811362731,0.9013874,0.12308003115610879,0.9100895
7,0.125971043331314,0.90116644,0.11797735604843222,0.91202056
8,0.12073780915546473,0.90041053,0.11844088459963394,0.91310835
9,0.1303233084586125,0.8998666,0.11901825565110495,0.91143656
10,0.1246494786089698,0.8995696,0.11999369872629535,0.90997684
11,0.12362161395331701,0.9000962,0.11645910382055244,0.913511
12,0.12921408786841856,0.8986382,0.11850252254962058,0.91159
13,0.12591130196526976,0.89987993,0.12049618064818288,0.9107321
14,0.12193805252865794,0.89997196,0.11674186629369504,0.9137776
15,0.13139817259219913,0.8978327,0.12189333744980327,0.9123428
16,0.12596441806218708,0.8990793,0.11858483042035783,0.91306055
17,0.12336767330816134,0.8988888,0.11693359537969662,0.9133067
18,0.12671379099673194,0.89939857,0.11612469880533477,0.9130058
19,0.13020438936648907,0.89820933,0.12411382836416013,0.9107348
