epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.35931825667035344,0.74761933,0.21986559364530775,0.82578087
1,0.37441623999791984,0.74242544,0.2242303416132927,0.82697856
2,0.3055790148529352,0.7641453,0.27321205536524457,0.8128898
3,0.3964704400768467,0.7237183,0.23282149682442346,0.80344003
4,0.3791678251296866,0.74653614,0.23159554104010263,0.79020786
5,0.336693152931391,0.76375985,0.21743373076121011,0.80380106
6,0.3707738518714905,0.75471944,0.2692599892616272,0.8055285
7,0.3289348763578078,0.7609349,0.2516552930076917,0.81711686
8,0.4140167712580924,0.72235984,0.24171208176347944,0.82449764
9,0.32798222364748225,0.74825966,0.2338924134771029,0.8212096
10,0.38454559211637457,0.73287606,0.40237705740663743,0.66945344
11,0.3636746678282233,0.7416295,0.26537634763452744,0.7835429
12,0.4048106543281499,0.72171855,0.25416858742634457,0.8151196
13,0.32402076031647475,0.75987834,0.2792398946152793,0.79376185
14,0.31312915478266923,0.7639824,0.23177864319748348,0.81649566
15,0.3150978284139259,0.76822865,0.22077931629286873,0.8203337
16,0.31380876927983525,0.76755464,0.26709602607621086,0.8110695
17,0.3572288490101403,0.751055,0.24714565773804983,0.8141091
18,0.40123969900841805,0.7262931,0.20672770589590073,0.80697286
19,0.35217766872808043,0.73446864,0.2026612079805798,0.82922876
0,0.36578913339797187,0.7456188,0.25105035967297024,0.80997014
1,0.3253061571249775,0.7533978,0.22499622321791118,0.83014524
2,0.3318234369450924,0.758768,0.3536658643020524,0.80927044
3,0.3159395272240919,0.76827574,0.2024340099758572,0.8063942
4,0.34412699514159967,0.75119525,0.2119781052072843,0.8129809
5,0.34199197809485826,0.7568818,0.19567708008819157,0.79909885
6,0.33231015824804117,0.75067425,0.22052830871608523,0.7974812
7,0.28309399707644595,0.7757558,0.22331295824713177,0.8153379
8,0.31830715724066194,0.7658404,0.38406827714708114,0.651081
9,0.2821960802756104,0.77206993,0.24062183747688928,0.78374887
10,0.27424720353355597,0.780198,0.19242958227793375,0.8279946
11,0.2950882200224727,0.7706608,0.20989154362016255,0.788481
12,0.3005713094391075,0.7640809,0.26151883684926563,0.75457025
13,0.3374027830420756,0.7615788,0.17421992040342754,0.8235122
14,0.3000692457837217,0.7711267,0.2563978152142631,0.75985545
15,0.26378679772218067,0.77879274,0.1778622724943691,0.84092593
16,0.28080503963956643,0.7789265,0.18176477981938255,0.8211054
17,0.3320679980165818,0.7651112,0.289505772292614,0.7559014
18,0.33453217192607765,0.7567966,0.1919701314634747,0.8442274
19,0.320507961453176,0.77682626,0.1762403572599093,0.82868016
0,0.3175592267630147,0.75964874,0.3620697731773059,0.8364481
1,0.3050837122342166,0.76949584,0.20537795457575056,0.83780706
2,0.3087834876541998,0.76441777,0.20439664522806802,0.8164941
3,0.3642617288757773,0.7274377,0.5538691729307175,0.5067875
4,0.3797493962680592,0.7173624,0.2903534422318141,0.7712713
5,0.35912759821204576,0.7501306,0.28514189024766284,0.7834578
6,0.33058758226095464,0.7573836,0.19694725589619744,0.79757524
7,0.3643435949788374,0.7468065,0.5678086835477087,0.49962437
8,0.4347134885542533,0.6750848,0.17575036734342575,0.82056046
9,0.3982083477518138,0.72876716,0.31964989999930066,0.75529337
10,0.3906634130022105,0.7341077,0.28058968981107074,0.7624092
11,0.3499518527704127,0.7522701,0.19685022864076826,0.82836854
12,0.29099420677213106,0.7663076,0.17174677385224235,0.82865834
13,0.34724634140729904,0.7367611,0.5110302203231387,0.57325304
14,0.42941120047779646,0.712922,0.3514273878600862,0.75402045
15,0.3511216004981714,0.7516849,0.288744668993685,0.7591447
16,0.3218853504342191,0.75864875,0.316389750275347,0.7844466
17,0.416273039930007,0.7240956,0.3051769162217776,0.77322674
18,0.34921787664586423,0.74240917,0.25046630534860825,0.82235825
19,0.31531376552348045,0.77298975,0.2813446554872725,0.797963
0,0.3070723230347914,0.77099407,0.19776089323891533,0.8387581
1,0.30312930032903074,0.7726032,0.23550108985768425,0.807674
2,0.2805028473045312,0.7733897,0.17901621096664005,0.8446088
3,0.3162769285195014,0.77340215,0.15330035570595,0.84961426
4,0.31579838006519806,0.77553797,0.2085564285516739,0.82249725
5,0.2779969638761352,0.7785279,0.23489419122536978,0.829305
6,0.2923639494122243,0.77813745,0.177600536081526,0.8349257
7,0.2883370875143537,0.7859565,0.16520459039343727,0.83273506
8,0.3480280320726189,0.74839264,0.18274937321742377,0.8411977
9,0.32649744375079287,0.75724053,0.23107995672358406,0.81327176
10,0.3045022103424166,0.7620717,0.2470184846056832,0.80895805
11,0.28393813807005974,0.77176726,0.2559186907278167,0.81852037
12,0.2792535167114407,0.7766522,0.18579450249671936,0.83130425
13,0.2867148401690464,0.77812743,0.2776909015244908,0.8260881
14,0.26537344809256347,0.7947885,0.19805805633465448,0.79773885
15,0.2753719813099094,0.7867352,0.18150856014755037,0.8403143
16,0.264527636561908,0.7764597,0.26571103433767956,0.7802664
17,0.2828601668862736,0.77691984,0.16800875713427862,0.83943576
18,0.24957955321844885,0.7871776,0.23850220772955152,0.83318913
