epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.3093552884113139,0.7731463,0.11111226046395568,0.90535927
1,0.12178741280999687,0.90101504,0.10565511533318842,0.93064886
2,0.10668552700657635,0.90803766,0.08896108808127477,0.9267843
3,0.10404755633987256,0.9123763,0.08932984451379032,0.9344894
4,0.10032648513447041,0.9127228,0.13840317371609487,0.93640596
5,0.13530034096868745,0.90963256,0.0849289291410198,0.9308692
6,0.10853422392533942,0.91102254,0.08837399429548186,0.92633677
7,0.09151757471825994,0.9115615,0.0948812482968582,0.923141
8,0.08819299803231002,0.9154269,0.10296173432502605,0.93407303
9,0.09893382902765305,0.9146811,0.08444722523033397,0.9324851
